;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
71;65.990;Hyundai;Hb20;1.6 Comfort Plus 16v;69.000;2017;SP;Parque da Mooca - São Paulo Zona Leste;Premium Auto Shopping
72;55.890;Renault;Duster;Duster 1.6 16v Expression (flex);131.483;2015;SP;Centro - Jacareí;Vazio
73;75.899;Hyundai;Hb20x;1.6 16v Premium;32.800;2018;SP;Parque Capuava - Santo André;Vazio
74;58.900;Chevrolet;Onix;1.0 Lt 5p;32.570;2019;SP;Centro - Guarulhos;Vazio
75;79.990;Hyundai;Hb20s;1.6 Comfort Style 16v Flex 4p Automático;48.404;2019;SP;Sorocaba;Vazio
76;56.900;Hyundai;Hb20;1.0 Unique 12v;49.900;2019;SP;Vila Nova Curuçá - São Paulo Zona Leste;Vazio
77;74.900;Honda;Civic;1.8 Lxs 16v;129.300;2015;SP;Vila Nova Curuçá - São Paulo Zona Leste;Vazio
78;89.900;Hyundai;Creta;1.6 16v Attitude;53.600;2017;SP;Vila Nova Curuçá - São Paulo Zona Leste;Vazio
79;59.990;Fiat;Argo;1.0 Firefly Flex Drive Manual;62.242;2019;SP;Sorocaba;Vazio
80;86.990;Chevrolet;Cruze;1.4 Turbo Lt 16v;74.500;2017;SP;Santo Amaro - São Paulo Zona Sul;Vazio
81;88.190;Toyota;Corolla;1.8 Gli 16v;71.372;2017;SP;Vila Ipiranga - Mogi das Cruzes;Vazio
82;77.990;Chevrolet;Tracker;1.8 Mpfi Ltz 4x2 16v Flex 4p Automático;72.436;2015;SP;Sorocaba;Vazio
83;87.990;Nissan;Kicks;1.6 16v Flexstart S;60.000;2018;SP;Parque da Mooca - São Paulo Zona Leste;Premium Auto Shopping
84;68.990;Hyundai;Hb20x;1.6 16v Style;95.000;2017;SP;Ipiranga - São Paulo Zona Sul;Premium Auto Shopping
85;60.900;Hyundai;Hb20;1.0 Unique 12v;78.000;2019;SP;Ribeirânia - Ribeirão Preto;Vazio
86;62.900;Jac;T40;1.5 16v Jetflex 5p;52.000;2018;SP;Alto do Ipiranga - São Paulo Zona Sul;Vazio
87;57.900;Jac;T6;2.0 16v Jetflex 5p;63.800;2016;SP;Alto do Ipiranga - São Paulo Zona Sul;Vazio
88;72.900;Renault;Duster;2.0 16v Dynamique Hi-flex Aut. 5p;43.000;2017;SP;Tamboré - Barueri;Vazio
89;84.899;Honda;Fit;1.5 Lx 16v;57.800;2018;SP;Parque Capuava - Santo André;Vazio
90;55.399;Citroën;C3;1.6 Tendance 16v;77.000;2016;SP;Vila Marieta - São Paulo Zona Leste;Vazio
91;68.900;Peugeot;2008;1.6 16v Griffe;47.618;2016;SP;Vila Divina Pastora - São Paulo Zona Leste;Vazio
92;59.800;Fiat;Doblo;1.8 Mpi Essence 7l 16v;84.157;2016;SP;Vila Divina Pastora - São Paulo Zona Leste;Vazio
93;61.888;Toyota;Etios;1.3 X 16v;18.000;2018;SP;Capuava - Santo André;Vazio
94;56.888;Hyundai;Hb20;1.6 Comfort Style 16v;90.000;2016;SP;Capuava - Santo André;Vazio
95;89.790;Kia;Cerato;1.6 Sx 16v;30.053;2019;SP;Vila Almeida - São Paulo Zona Sul;Vazio
96;77.900;Hyundai;Hb20;1.6 R Spec 16v;12.500;2019;SP;Vila Nova Curuçá - São Paulo Zona Leste;Vazio
97;72.790;Honda;City;1.5 Exl 16v;97.073;2015;SP;Parque Capuava - Santo André;Vazio
98;59.990;Ford;Ka;1.5 Tivct Se Sedan;59.900;2020;SP;Santo Amaro - São Paulo Zona Sul;Vazio
99;64.990;Fiat;Strada;1.4 Mpi Hard Working Cs 8v;57.000;2020;SP;Santo Amaro - São Paulo Zona Sul;Vazio
100;59.990;Fiat;Strada;Hard Working Cabine Simples Cc E;56.000;2020;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
101;84.990;Volkswagen;Virtus;1.0 200 Tsi Comfortline;74.700;2020;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
102;78.790;Jeep;Renegade;1.8 16v Sport;56.036;2017;SP;Vila Almeida - São Paulo Zona Sul;Vazio
103;72.890;Hyundai;Hb20s;1.6 Comfort Plus 16v;19.553;2017;SP;Parque Capuava - Santo André;Vazio
104;88.790;Peugeot;2008;1.6 16v Crossway;40.673;2019;SP;Parque Capuava - Santo André;Vazio
105;67.790;Hyundai;Tucson;2.0 Mpfi Gls Base 16v 143cv 2wd;67.083;2016;SP;Vila Almeida - São Paulo Zona Sul;Vazio
106;75.500;Nissan;Versa;1.6 16v Flexstart Sl;49.879;2019;SP;Vila Divina Pastora - São Paulo Zona Leste;Vazio
107;63.900;Chevrolet;Onix;1.4 Mpfi Ltz 8v;43.297;2016;SP;Vila Divina Pastora - São Paulo Zona Leste;Vazio
108;74.890;Chevrolet;Onix;1.4 Mpfi Activ 8v;26.878;2019;SP;Vila Divina Pastora - São Paulo Zona Leste;Vazio
109;74.997;Honda;City;1.5 Lx 16v;91.000;2016;SP;Rudge Ramos - São Bernardo do Campo;Vazio
110;86.900;Nissan;Kicks;1.6 16v Flex Sl 4p Xtronic;120.000;2017;SP;São Paulo Zona Sul;Vazio
111;89.890;Honda;Fit;1.5 Ex 16v;28.132;2018;SP;Parque Capuava - Santo André;Vazio
112;83.890;Peugeot;2008;1.6 16v Crossway;54.205;2019;SP;Parque Capuava - Santo André;Vazio
113;88.790;Nissan;Sentra;2.0 S 16v;47.653;2019;SP;Parque Capuava - Santo André;Vazio
114;65.800;Fiat;Strada;1.4 Mpi Hard Working Ce 8v;65.000;2019;SP;São José - São Caetano do Sul;Vazio
115;89.890;Volkswagen;Polo;1.0 200 Tsi Highline;55.951;2019;SP;Parque Capuava - Santo André;Vazio
116;89.990;Chevrolet;S-10;2.4 Mpfi Ls 4x2 Cd 8v;70.500;2015;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
117;89.890;Honda;Hr-v;1.8 16v Ex;88.029;2016;SP;Parque Capuava - Santo André;Vazio
118;74.890;Chevrolet;Onix;1.0 Lt;20.179;2020;SP;Parque Capuava - Santo André;Vazio
119;81.790;Renault;Duster;2.0 16v Dynamique;42.738;2019;SP;Vila Almeida - São Paulo Zona Sul;Vazio
120;56.900;Citroën;C3;1.6 Vti 120 Exclusive E;109.502;2017;SP;Demarchi - São Bernardo do Campo;Vazio
121;56.890;Hyundai;Hb20;1.0 Comfort 12v;44.000;2018;SP;Praia Grande;Vazio
122;61.888;Nissan;March;1.6 Sv 16v Flexstart;68.000;2018;SP;Capuava - Santo André;Vazio
123;63.900;Hyundai;Hb20;1.0 Comfort Plus 12v Flex 4p Manual;19.000;2019;SP;São Paulo Zona Norte;Vazio
124;78.790;Kia;Soul;1.6 Ex 16v;63.553;2015;SP;Vila Almeida - São Paulo Zona Sul;Vazio
125;82.790;Honda;Civic;2.0 Lxr 16v;112.503;2016;SP;Vila Almeida - São Paulo Zona Sul;Vazio
126;65.900;Hyundai;Hb20s;Hb20s 1.6 Premium (aut);84.733;2016;SP;Pirituba - São Paulo Zona Oeste;Vazio
127;57.899;Toyota;Etios;1.5 Xs 16v;80.000;2017;SP;Centro - São Bernardo do Campo;Vazio
128;88.790;Nissan;Sentra;2.0 S 16v;47.653;2019;SP;Vila Almeida - São Paulo Zona Sul;Vazio
129;85.790;Chevrolet;Cruze;1.4 Turbo Lt 16v;69.353;2017;SP;Parque Capuava - Santo André;Vazio
130;68.790;Renault;Duster;1.6 16v Sce Expression;64.843;2017;SP;Parque Capuava - Santo André;Vazio
131;70.900;Jeep;Renegade;1.8 16v Sport;83.000;2016;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
132;64.888;Citroën;Aircross;1.6 Feel 16v;72.000;2017;SP;Capuava - Santo André;Vazio
133;62.990;Ford;Ecosport;2.0 Freestyle 4wd 16v;79.000;2016;SP;Parque São Lucas - São Paulo Zona Leste;Vazio
134;79.899;Hyundai;Hb20s;1.6 Premium 16v;64.529;2018;SP;Vila Hermínia - Guarulhos;Vazio
135;57.990;Hyundai;Hb20;Hb20 1.6 Comfort Plus;54.355;2018;SP;São Paulo;Vazio
136;61.790;Hyundai;Tucson;2.0 Mpfi Gls 16v 143cv 2wd;107.863;2015;SP;Vila Almeida - São Paulo Zona Sul;Vazio
137;67.790;Hyundai;Tucson;2.0 Mpfi Gls Base 16v 143cv 2wd;78.017;2016;SP;Vila Almeida - São Paulo Zona Sul;Vazio
138;58.900;Hyundai;Hb20;1.0 Comfort 12v;83.000;2018;SP;Santo Amaro - São Paulo Zona Sul;Vazio
139;61.900;Hyundai;Hb20s;1.0 Unique 12v;54.197;2019;SP;Jurubatuba - São Paulo Zona Sul;Vazio
140;67.790;Hyundai;Tucson;2.0 Mpfi Gls 16v 143cv 2wd;56.043;2016;SP;Vila Almeida - São Paulo Zona Sul;Vazio
141;87.900;Toyota;Corolla;1.8 Gli 16v;58.617;2017;SP;Vila Divina Pastora - São Paulo Zona Leste;Vazio
142;55.997;Ford;Ka;1.0 Se Plus 12v;58.000;2019;SP;Rudge Ramos - São Bernardo do Campo;Vazio
143;77.997;Jeep;Renegade;1.8 16v Sport;99.000;2016;SP;Rudge Ramos - São Bernardo do Campo;Vazio
144;73.900;Chevrolet;Onix;Onix Hatch Activ 1.4 8v Flex 5p Aut.;35.187;2019;SP;Freguesia do Ó - São Paulo Zona Norte;Vazio
145;55.990;Chevrolet;Onix;1.0 Mpfi Joy 8v;45.000;2020;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
