;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
423;75.990;Renault;Sandero;Renault Sandero Gt Line 1.0 2021/2022;22.000;2022;SC;Santa Mônica - Florianópolis;Vazio
424;63.900;Chevrolet;Prisma;Ltz 1.4;94.000;2016;SC;Brusque;Vazio
425;62.900;Hyundai;Hb20;1.0 Comfort;49.000;2018;SC;Brusque;Vazio
426;62.990;Chevrolet;Onix;Lt 1.0;55.000;2018;SC;Brusque;Vazio
427;63.990;Hyundai;Hb20;Unique 1.0;36.000;2019;SC;Brusque;Vazio
428;79.900;Volkswagen;Polo;Comfort 200 Tsi 1.0 Flex 12v Aut;85.000;2018;SC;Garopaba;Vazio
429;69.990;Chery;Tiggo;2 Tiggo 2 1.5 16v Act (flex);82.269;2019;SC;Kobrasol - São José;Vazio
430;58.900;Renault;Duster;2.0 At Dynamique - 2015;79.884;2015;SC;Rio do Sul;Vazio
431;67.900;Hyundai;Hb20s;Premium 1.6 At - 2016;36.661;2016;SC;Rio do Sul;Vazio
432;61.690;Hyundai;Hb20s;Hb20s C.plus/c.style Gnv;168.978;2017;SC;Kobrasol - São José;Vazio
433;76.900;Honda;Fit;Lx 1.5 At - 2017;33.171;2017;SC;Rio do Sul;Vazio
434;72.900;Jeep;Renegade;Renegade Sport 1.8 4x2 Flex 16v Mec.;106.126;2016;SC;Kobrasol - São José;Vazio
435;62.900;Renault;Logan;Life 1.0;30.398;2021;SC;América - Joinville;Vazio
436;65.900;Ford;Ka;Se 1.5 Sd C;20.483;2020;SC;América - Joinville;Vazio
437;63.900;Chevrolet;Prisma;Prisma 1.4 Lt Spe/4;56.437;2017;SC;Kobrasol - São José;Vazio
438;75.900;Jeep;Renegade;Sport At;103.000;2016;SC;Floresta - Joinville;Vazio
439;62.890;Nissan;Versa;Versa 1.6 16v Sl (flex);92.514;2017;SC;Kobrasol - São José;Vazio
440;75.990;Chevrolet;Prisma;Prisma 1.4 Ltz Spe/4 (auto) gnv;105.172;2019;SC;Kobrasol - São José;Vazio
441;57.900;Chevrolet;Prisma;Prisma 1.4 Ltz Spe/4;96.610;2016;SC;Kobrasol - São José;Vazio
442;69.900;Volkswagen;Voyage;1.6l Mb5;5.270;2021;SC;América - Joinville;Vazio
443;81.000;Fiat;Doblo;Essence 7l E;69.000;2020;SC;Itoupava Seca - Blumenau;Vazio
444;59.900;Fiat;Strada;Working 1.4 Mpi Fire Flex 8v Cs;98.000;2019;SC;Floresta - Joinville;Vazio
445;80.000;Renault;Captur;1.616v Intense Sce X-tronic 5p;6.892;2019;SC;Fortaleza - Blumenau;Vazio
446;66.900;Suzuki;Jimny;4work-off;90.000;2016;SC;Floresta - Joinville;Vazio
447;58.900;Chevrolet;Onix;1.0 Mt Joy;50.000;2020;SC;Fraiburgo;Vazio
448;56.900;Hyundai;Hb20;Hb20 Copa Do Mundo 1.6 Flex;96.000;2015;SC;Fraiburgo;Vazio
449;61.000;Toyota;Etios;1.5 Xs 16v Flex 4p Aut;186.636;2018;SC;América - Joinville;Vazio
450;59.900;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;23.000;2019;SC;São Bento do Sul;Vazio
