;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1358;83.900;Toyota;Yaris;Sd Xlplusat;38.746;2019;PR;Jardim das Américas - Curitiba;Vazio
1359;73.890;Volkswagen;Polo;Af;35.500;2020;PR;Bacacheri - Curitiba;Vazio
1360;69.900;Renault;Logan;Zen 1.6;44.815;2020;PR;Jardim das Américas - Curitiba;Vazio
1361;63.900;Hyundai;Hb20s;Hb20s 1.0 M Comfort;60.201;2019;PR;Curitiba;Vazio
1362;58.900;Ford;Fiesta;1.6 Sel;59.392;2017;PR;São José dos Pinhais;Vazio
1363;66.900;Hyundai;Hb20;Hb20 Comfort 1.6 Flex 16v Aut;64.966;2018;PR;Jardim das Américas - Curitiba;Vazio
1364;65.900;Fiat;Argo;Drive 1.0;29.000;2020;PR;Centro - São José dos Pinhais;Vazio
1365;67.900;Citroën;C4;Lounge 1.6 Thp Origine;49.000;2018;PR;Xaxim - Curitiba;Vazio
1366;66.000;Volkswagen;Polo;Mca;82.253;2020;PR;Região do Lago - Cascavel;Vazio
1367;64.000;Chevrolet;Cobalt;1.8 Ltz Aut. 4p;99.900;2018;PR;Vila Nova - Pitanga;Vazio
1368;89.900;Hyundai;New;Beetle Hb20 1.0at Tgdi Sport;5.072;2022;PR;Jardim das Américas - Curitiba;Vazio
1369;74.900;Volkswagen;Polo;Mf;44.468;2019;PR;Jardim das Américas - Curitiba;Vazio
1370;69.900;Ford;Ecosport;Freestyle 1.6;52.719;2016;PR;Jardim das Américas - Curitiba;Vazio
1371;79.900;Volkswagen;Voyage;1.6l Mb5;2.575;2022;PR;Jardim das Américas - Curitiba;Vazio
1372;57.900;Volkswagen;Gol;1.0 Flex 12v 5p;39.926;2021;PR;Santa Felicidade - Curitiba;Vazio
1373;57.900;Citroën;C4;Lounge 1.6 Tendance 16v Turbo Flex 4p Automatico;86.394;2015;PR;Xaxim - Curitiba;Vazio
1374;72.900;Renault;Duster;1.6 Dynamique 4x2 16v Flex 4p Manual;91.938;2018;PR;Campo Largo;Vazio
1375;66.000;Fiat;Palio;Adventure Weekend Adventure 1.8;63.603;2019;PR;Região do Lago - Cascavel;Vazio
1376;87.900;Volkswagen;Polo;Hl Ad;65.000;2019;PR;Portão - Curitiba;Vazio
1377;84.900;Mitsubishi;Asx;Asx 2.0;49.000;2017;PR;Vila Izabel - Curitiba;Vazio
